poi_id,x,y
1494044,220.013288,463.531198
1494044,217.885027,462.755375
1494044,213.718877,474.643974
1494044,204.411614,469.110381
1494044,201.781145,468.03423
1494044,196.137061,465.745847
1494044,172.580588,456.169216
1494044,176.818919,444.77971
1494044,177.938349,442.028362
1494044,183.842043,425.894564
1494044,193.956719,430.197128
1494044,198.274023,432.036715
1494044,199.031419,430.395118
1494044,211.534261,434.955842
1494044,213.177715,430.445726
1494044,227.188208,438.077377
1494044,221.943641,452.126617
1494044,223.791519,452.808567
1494044,220.013288,463.531198
1505129,276.721634,480.790107
1505129,264.597367,503.46136
1505129,263.138922,504.106008
1505129,263.217775,504.293415
1505129,262.762235,505.472014
1505129,262.238059,505.706294
1505129,261.754338,505.928541
1505129,260.657204,505.430082
1505129,260.57835,505.242675
1505129,259.019141,505.93409
1505129,255.067814,504.976481
1505129,253.081726,504.486784
1505129,253.218284,503.916216
1505129,249.110922,502.962103
1505129,247.896402,502.677699
1505129,245.010094,501.996719
1505129,244.891898,502.477855
1505129,238.592682,500.938511
1505129,231.645248,499.246765
1505129,231.763443,498.765629
1505129,227.736734,497.776346
1505129,223.710272,496.798188
1505129,223.592078,497.279324
1505129,217.682025,495.842575
1505129,238.798131,460.673895
1505129,243.677774,463.380027
1505129,243.950695,463.140239
1505129,246.532855,464.484558
1505129,251.422575,467.034683
1505129,251.109879,467.620319
1505129,263.261147,474.069617
1505129,263.646727,473.404457
1505129,268.975832,476.178452
1505129,271.310767,477.394782
1505129,271.115704,477.777487
1505129,276.721634,480.790107
1505141,162.81106,482.437905
1505141,168.44659,467.367219
1505141,172.580588,456.169216
1505141,196.137061,465.745847
1505141,185.680806,488.023885
1505141,174.249332,485.230805
1505141,162.81106,482.437905
1547630,1202.916169,520.896303
1547630,1188.998064,522.239868
1547630,1177.314973,523.366977
1547630,1179.216538,550.95469
1547630,1179.093962,559.503426
1547630,1198.807516,559.043902
1547630,1205.543694,558.883377
1547630,1206.864231,551.710156
1547630,1207.526835,551.595312
1547630,1206.377055,538.312173
1547630,1204.636789,538.495427
1547630,1202.916169,520.896303
162018681,1261.659675,481.982491
162018681,1262.919978,484.947885
162018681,1262.399207,485.337768
162018681,1263.052902,487.88263
162018681,1271.116624,487.592625
162018681,1289.723191,487.091246
162018681,1289.521574,484.425086
162018681,1289.053231,484.424337
162018681,1287.90927,480.88885
162018681,1284.731392,480.825743
162018681,1282.074226,477.001091
162018681,1277.801386,471.020107
162018681,1265.570877,479.915082
162018681,1264.728909,480.512381
162018681,1264.540317,480.271753
162018681,1261.659675,481.982491
172283309,943.126014,690.074306
172283309,938.36848,684.894446
172283309,953.502327,671.093543
172283309,954.255247,671.989273
172283309,956.802249,669.629231
172283309,956.671922,668.040875
172283309,954.218548,665.758607
172283309,957.68232,662.810676
172283309,961.109954,659.763403
172283309,967.945907,667.456445
172283309,943.126014,690.074306
1846133,1081.138592,699.426363
1846133,1089.957978,701.70088
1846133,1098.504279,703.903581
1846133,1095.422288,716.713147
1846160,1115.208209,708.228633
1846160,1124.007457,710.514784
1846160,1132.745149,712.780062
194728663,863.323873,41.126542
194728663,847.237631,39.659455
194728663,846.100341,52.003058
194728663,859.663265,53.248078
194728663,862.186791,53.481262
194728663,862.820666,46.579152
194728663,863.323873,41.126542
194728665,844.893314,65.483232
194728665,844.43218,70.690101
194728665,857.524442,71.834309
194728665,857.973462,71.879958
194728665,858.333908,67.943882
194728665,859.663265,53.248078
194728665,846.100341,52.003058
194728665,844.893314,65.483232
194728666,855.697129,90.691803
194728666,877.46019,94.703282
194728666,878.799204,79.829227
194728666,856.972308,77.833263
194728666,855.697129,90.691803
2169369,1300.865945,499.863645
2169369,1299.173688,492.412257
2169369,1295.959421,487.030949
2169369,1292.432226,481.31162
2169369,1292.936345,481.089024
2169369,1289.513355,476.090684
2169369,1284.094797,468.33241
2169369,1282.981874,466.810335
2169369,1279.058924,462.835694
2169369,1264.725569,473.01244
2169369,1254.450754,480.417507
2169369,1257.078408,488.11521
2169369,1259.232425,494.655013
2169369,1261.088196,500.600537
2169369,1271.705883,500.39858
2169369,1282.988647,500.193035
2169369,1300.865945,499.863645
23787848,1309.684047,561.192849
23787848,1321.500135,560.864294
23787848,1321.421465,555.168698
23787848,1321.439733,540.368566
23787848,1320.948881,528.628679
23787848,1320.20623,514.10134
23787848,1310.445327,514.373231
23787848,1306.565388,514.481451
23787848,1306.519817,522.227281
23787848,1306.477304,525.822443
23787848,1315.331483,525.370335
23787848,1315.610181,532.741769
23787848,1307.911388,532.956853
23787848,1308.117083,540.096225
23787848,1314.897816,539.801332
23787848,1315.80827,552.71145
23787848,1309.452478,552.88565
23787848,1309.684047,561.192849
23816399,1258.400529,535.511816
23816399,1264.69937,534.604389
23816399,1265.01414,526.451995
23816399,1275.581443,526.429203
23816399,1275.28224,524.566395
23816399,1274.987479,515.247984
23816399,1266.824883,515.362135
23816399,1258.033842,515.601506
23816399,1258.400529,535.511816
23816400,1293.834875,524.700497
23816400,1294.148618,514.968008
23816400,1282.042316,515.069376
23816400,1274.987479,515.247984
23816400,1275.28224,524.566395
23816400,1287.58624,524.505139
23816400,1287.215657,527.384276
23816400,1293.834875,524.700497
23816402,1294.148618,514.968008
23816402,1293.834875,524.700497
23816402,1299.835151,522.264121
23816402,1306.519817,522.227281
23816402,1306.565388,514.481451
23816402,1294.148618,514.968008
23816404,1226.17682,551.838272
23816404,1229.034659,540.224433
23816404,1241.167034,541.9139
23816404,1239.689674,549.057204
23816404,1238.989692,549.629104
23816404,1239.763667,550.557792
23816404,1242.504883,548.683216
23816404,1249.295572,550.368728
23816404,1249.669075,548.847092
23816404,1249.313598,548.732568
23816404,1248.200308,547.499827
23816404,1248.886399,542.933421
23816404,1253.858641,543.724532
23816404,1252.837193,557.044682
23816404,1226.17682,551.838272
23816413,1210.116532,665.306717
23816413,1203.433415,663.262794
23816413,1199.627474,662.112041
23816413,1195.818468,677.652799
23816413,1195.146264,680.393977
23816413,1206.281468,683.652205
23816413,1207.531408,678.806222
23816413,1208.548353,679.061858
23816413,1209.384362,675.74954
23816413,1208.380984,675.493602
23816413,1209.229575,672.136494
23816413,1217.31087,674.182801
23816413,1216.736588,676.443317
23816413,1225.425326,678.64308
23816413,1225.787461,677.221841
23816413,1232.353378,678.878925
23816413,1229.41953,690.427687
23816413,1243.970221,694.678518
23816413,1248.246352,676.935304
23816413,1247.583643,676.738571
23816413,1228.990164,671.064013
23816413,1210.116532,665.306717
23838768,1316.52634,500.26222
23838768,1324.862622,486.846807
23838768,1317.745656,488.818274
23838768,1313.282455,481.595185
23838768,1308.886107,484.129537
23838768,1314.658448,493.46012
23838768,1316.52634,500.26222
23838772,1247.36154,505.378124
23838772,1261.8741,504.21072
23838772,1261.088196,500.600537
23838772,1259.232425,494.655013
23838772,1246.430517,495.528565
23838772,1247.36154,505.378124
23838777,1295.959421,487.030949
23838777,1299.173688,492.412257
23838777,1300.865945,499.863645
23838777,1304.572469,499.892794
23838777,1304.827536,500.376758
23838777,1305.346439,500.821493
23838777,1305.907655,501.03161
23838777,1306.329987,501.100146
23838777,1316.52634,500.26222
23838777,1314.658448,493.46012
23838777,1308.886107,484.129537
23838777,1304.770865,486.791195
23838777,1295.959421,487.030949
23838780,1279.058924,462.835694
23838780,1273.270385,457.066346
23838780,1263.364454,464.274047
23838780,1261.789853,461.82749
23838780,1263.748735,460.482139
23838780,1252.509389,443.97308
23838780,1247.388732,447.513901
23838780,1249.747075,451.022458
23838780,1245.198021,454.016485
23838780,1251.22882,462.139485
23838780,1255.551403,459.339654
23838780,1257.662798,462.731286
23838780,1264.725569,473.01244
23838780,1279.058924,462.835694
23838782,1249.271835,480.409908
23838782,1253.199201,477.540942
23838782,1254.450754,480.417507
23838782,1264.725569,473.01244
23838782,1257.662798,462.731286
23838782,1253.326521,465.831864
23838782,1257.316941,471.318346
23838782,1252.004504,475.085966
23838782,1248.280385,469.671479
23838782,1243.985317,472.793408
23838782,1249.271835,480.409908
23838784,1233.321335,456.828017
23838784,1247.388732,447.513901
23838784,1241.009716,438.074437
23838784,1227.024205,447.409011
23838784,1233.321335,456.828017
23838786,1205.470639,477.241623
23838786,1226.880263,462.957488
23838786,1231.167433,460.091654
23838786,1230.284777,458.853803
23838786,1233.321335,456.828017
23838786,1227.024205,447.409011
23838786,1212.746786,456.738972
23838786,1198.397756,466.204096
23838786,1205.470639,477.241623
23838791,1193.554424,506.727046
23838791,1191.999904,499.984802
23838791,1191.093439,496.143622
23838791,1179.462786,478.831087
23838791,1178.727154,479.937912
23838791,1177.987945,481.189476
23838791,1176.788535,482.807333
23838791,1173.224965,486.46948
23838791,1172.226611,487.971602
23838791,1171.693268,489.018303
23838791,1171.206552,490.331033
23838791,1170.939884,491.772412
23838791,1170.757586,493.345451
23838791,1170.785714,494.613377
23838791,1171.025258,496.232696
23838791,1171.498047,497.657671
23838791,1172.147466,499.089856
23838791,1173.097355,500.604396
23838791,1174.183045,501.815477
23838791,1175.159079,502.672908
23838791,1176.378844,503.502677
23838791,1177.882055,504.259392
23838791,1180.000634,504.913436
23838791,1181.477447,505.092102
23838791,1183.170854,505.243708
23838791,1185.50985,505.737079
23838791,1186.843089,506.174866
23838791,1188.453484,506.561996
23838791,1190.964175,506.840136
23838791,1192.021983,506.794418
23838791,1193.554424,506.727046
23838793,1233.034372,506.641609
23838793,1232.083844,495.301383
23838793,1222.907926,495.938816
23838793,1224.711739,494.641398
23838793,1223.263253,481.965772
23838793,1222.89225,478.702478
23838793,1217.958026,482.383856
23838793,1220.486854,504.293707
23838793,1221.074573,507.841513
23838793,1231.18555,506.82726
23838793,1233.034372,506.641609
23838796,1209.960076,505.228182
23838796,1215.216804,504.766653
23838796,1220.486854,504.293707
23838796,1217.958026,482.383856
23838796,1211.733979,486.972925
23838796,1205.44309,491.607995
23838796,1209.960076,505.228182
23874948,990.363168,643.912879
23874948,996.184674,638.33097
23874948,1000.017313,636.098172
23874948,995.010446,629.16563
23874948,995.642798,628.606324
23874948,996.011656,627.184917
23874948,995.255772,626.155715
23874948,993.640591,625.857778
23874948,992.847267,626.198108
23874948,990.724295,623.207438
23874948,991.909462,622.48006
23874948,992.505612,623.345896
23874948,997.053888,620.941406
23874948,996.988113,620.119422
23874948,998.735153,620.547963
23874948,1001.018734,624.046939
23874948,1005.441062,621.166767
23874948,1003.680813,620.449198
23874948,999.345042,613.479486
23874948,994.84254,616.417083
23874948,986.064247,622.109211
23874948,978.242357,627.468525
23874948,985.597324,637.442352
23874948,990.363168,643.912879
23874950,1033.439168,667.959628
23874950,1041.957926,670.14059
23874950,1050.148832,672.228699
23874950,1053.514177,659.346043
23874950,1055.851362,650.592323
23874950,1050.069428,649.096102
23874950,1049.44169,651.39121
23874950,1049.790133,651.494748
23874950,1048.065266,657.564238
23874950,1049.360017,658.71501
23874950,1048.353453,659.538557
23874950,1040.914669,657.700807
23874950,1040.525617,656.685706
23874950,1042.498081,656.263554
23874950,1044.314077,649.713549
23874950,1044.546455,649.786281
23874950,1045.072074,647.782759
23874950,1039.303948,646.297371
23874950,1036.949402,655.185017
23874950,1033.439168,667.959628
23874952,1066.812462,676.565614
23874952,1070.080156,663.562736
23874952,1053.514177,659.346043
23874952,1050.148832,672.228699
23874952,1064.655211,676.001501
23874952,1066.812462,676.565614
23874955,1083.503195,680.901984
23874955,1086.892529,667.262141
23874955,1088.948685,658.993167
23874955,1083.20242,657.574009
23874955,1082.644844,659.667257
23874955,1083.062358,659.824901
23874955,1081.711286,665.307442
23874955,1082.695209,666.520763
23874955,1081.395095,667.573372
23874955,1074.909275,665.859072
23874955,1074.53095,664.409752
23874955,1076.040504,663.619553
23874955,1077.278222,658.228549
23874955,1077.74976,658.373866
23874955,1078.254052,656.326311
23874955,1072.296248,654.856224
23874955,1070.080156,663.562736
23874955,1066.812462,676.565614
23874955,1083.503195,680.901984
23874957,1100.214494,685.24908
23874957,1103.630759,671.597525
23874957,1086.892529,667.262141
23874957,1083.503195,680.901984
23874957,1085.148449,681.332814
23874957,1100.214494,685.24908
23874970,1146.413656,677.580474
23874970,1139.971293,675.987528
23874970,1135.658065,694.488352
23874970,1138.708408,695.232974
23874970,1155.097808,699.453866
23874970,1158.09622,686.846495
23874970,1150.164653,684.819219
23874970,1149.959287,684.434309
23874970,1149.645381,684.051808
23874970,1149.210601,683.727627
23874970,1148.799628,683.558704
23874970,1148.377061,683.47906
23874970,1147.916261,683.51154
23874970,1147.491353,683.632246
23874970,1147.208904,683.74979
23874970,1146.86861,684.013276
23874970,1145.34621,683.613082
23874970,1144.593814,682.127548
23874970,1145.470884,681.585086
23874970,1146.413656,677.580474
23874975,1176.460511,705.133474
23874975,1179.759478,702.400785
23874975,1181.735725,694.500838
23874975,1171.466133,691.713078
23874975,1171.321951,692.250403
23874975,1170.112842,691.898888
23874975,1170.257764,691.39493
23874975,1169.511052,690.165202
23874975,1162.612476,688.504455
23874975,1162.065945,687.426073
23874975,1161.434937,687.74052
23874975,1158.09622,686.846495
23874975,1155.097808,699.453866
23874975,1176.460511,705.133474
23874978,1150.134369,666.937788
23874978,1143.860848,665.307707
23874978,1142.002798,672.414986
23874978,1152.631741,675.183585
23874978,1152.519258,675.620059
23874978,1161.482588,677.958276
23874978,1163.202771,671.365935
23874978,1167.175841,672.401676
23874978,1167.499972,671.10368
